schema_version	harness_commit	epoch	judged_at_utc	commit	scope	board	workload_class	outcome	judged_r	ci_low	ci_high	prove_ms	native_mhz	peak_rss_mib	waits	dispatches	energy_j	gates	holdout	submission_id	predecessor	supersedes
2	caef9f755204	1	2026-07-21T06:53:58Z	86f6396f1995f5d473ff6cad1debc0a75a5810fc	s3	core_metal	deep	promoted	0.864545	0.857539	0.870082	7.880292	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-batched-sampled-value-epoch	bbb8c8823cca		claimed
2	caef9f755204	1	2026-07-21T06:53:58Z	86f6396f1995f5d473ff6cad1debc0a75a5810fc	s3	core_metal	small	promoted	0.934709	0.903648	0.957023	2.677750	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-batched-sampled-value-epoch	bbb8c8823cca		claimed
2	caef9f755204	1	2026-07-21T06:53:58Z	86f6396f1995f5d473ff6cad1debc0a75a5810fc	s3	core_metal	wide	promoted	0.950965	0.935763	0.970707	12.875375	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-batched-sampled-value-epoch	bbb8c8823cca		claimed
2	e1ba36ee7495	1	2026-07-21T06:53:58Z	0fc1478f3714cb343a356e2b2a06070a7b902e83	s3	core_metal	deep	rejected	0.859153	0.851343	0.866507	9.173042	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-resident-fri-transcript-cascade-epoch	fd9bd94395ce		claimed
2	e1ba36ee7495	1	2026-07-21T06:53:58Z	0fc1478f3714cb343a356e2b2a06070a7b902e83	s3	core_metal	small	rejected	0.728539	0.716324	0.741851	2.875333	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-resident-fri-transcript-cascade-epoch	fd9bd94395ce		claimed
2	e1ba36ee7495	1	2026-07-21T06:53:58Z	0fc1478f3714cb343a356e2b2a06070a7b902e83	s3	core_metal	wide	rejected	0.889149	0.871695	0.906885	13.657750	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-resident-fri-transcript-cascade-epoch	fd9bd94395ce		claimed
2	bcd67c353ea4	1	2026-07-21T06:53:58Z	334f6c496dd39568c7fe5ed980e4cc2d2bb0a730	s3	core_metal	deep	rejected	0.878045	0.851804	0.895982	11.656000	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-shared-merkle-readback	5d2eb59b2f9d		claimed
2	bcd67c353ea4	1	2026-07-21T06:53:58Z	334f6c496dd39568c7fe5ed980e4cc2d2bb0a730	s3	core_metal	small	rejected	0.751871	0.739983	0.764743	4.050334	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-shared-merkle-readback	5d2eb59b2f9d		claimed
2	bcd67c353ea4	1	2026-07-21T06:53:58Z	334f6c496dd39568c7fe5ed980e4cc2d2bb0a730	s3	core_metal	wide	rejected	0.920208	0.884962	0.960998	15.035792	0.000000	0.000000				G1..G5:pass	none	2026-07-20-metal-shared-merkle-readback	5d2eb59b2f9d		claimed
2	24820b7c6102	1	2026-07-21T07:07:59Z	671dc42f179411544a96ff180ae3041a25edac39	s3	core_metal	deep	rejected	0.987766	0.975128	0.996871	7.358625	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-fold-leaf-fusion	cafbe2c8a71f		claimed
2	24820b7c6102	1	2026-07-21T07:07:59Z	671dc42f179411544a96ff180ae3041a25edac39	s3	core_metal	small	rejected	0.971225	0.934191	1.001393	2.480250	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-fold-leaf-fusion	cafbe2c8a71f		claimed
2	24820b7c6102	1	2026-07-21T07:07:59Z	671dc42f179411544a96ff180ae3041a25edac39	s3	core_metal	wide	rejected	1.005769	0.987573	1.033786	12.632583	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-fold-leaf-fusion	cafbe2c8a71f		claimed
2	76d11f22730e	1	2026-07-21T07:07:59Z	fd3b4f6814c2b371fc478c16ddb26ae64a2cee7d	s3	core_metal	deep	promoted	0.897113	0.886560	0.946594	6.416209	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-linear-transcript-tail	f52e3a791dd7		claimed
2	76d11f22730e	1	2026-07-21T07:07:59Z	fd3b4f6814c2b371fc478c16ddb26ae64a2cee7d	s3	core_metal	small	rejected	0.960717	0.926427	0.995083	2.325042	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-linear-transcript-tail	f52e3a791dd7		claimed
